Mon Jun  7 19:41:00 CDT 2021,    3625    7250  181250
Mon Jun  7 19:41:10 CDT 2021,    3635    7270  181750
Mon Jun  7 19:41:21 CDT 2021,    3643    7286  182150
Mon Jun  7 19:41:32 CDT 2021,    3652    7304  182600
Mon Jun  7 19:42:59 CDT 2021,3714
Mon Jun  7 19:43:10 CDT 2021,3722
Mon Jun  7 19:43:20 CDT 2021,3730
Mon Jun  7 19:43:31 CDT 2021,3738
Mon Jun  7 19:43:42 CDT 2021,3748
Mon Jun  7 19:43:52 CDT 2021,3759
Mon Jun  7 19:44:03 CDT 2021,3769
Mon Jun  7 19:44:14 CDT 2021,3780
Mon Jun  7 19:44:24 CDT 2021,3797
Mon Jun  7 19:44:40 CDT 2021,3806
Mon Jun  7 19:44:51 CDT 2021,3816
Mon Jun  7 19:45:01 CDT 2021,3825
Mon Jun  7 19:45:12 CDT 2021,3835
Mon Jun  7 19:45:23 CDT 2021,3841
Mon Jun  7 19:45:33 CDT 2021,3847
Mon Jun  7 19:45:44 CDT 2021,3856
Mon Jun  7 19:45:55 CDT 2021,3862
Mon Jun  7 19:46:05 CDT 2021,3870
Mon Jun  7 19:46:16 CDT 2021,3878
Mon Jun  7 19:46:27 CDT 2021,3887
,3912
19:47:37,3935
19:47:48,3945
19:47:59,3949
19:48:09,3958
2021-06-07_19-48-18,3965
2021-06-07_19-48-28,3974
2021-06-07_19-48-39,3983
2021-06-07_19-48-49,3993
2021-06-07_19-49-00,4002
2021-06-07_19-49-11,4012
2021-06-07_19-49-22,4021
2021-06-07_19-49-32,4031
2021-06-07_19-49-44,4040
2021-06-07_19-49-54,4048
2021-06-07_19-50-05,4058
2021-06-07_19-50-16,4063
2021-06-07_19-50-26,4070
,4074
,4081
2021-06-07T19:52:01,4124
2021-06-07T19:52:13,4130
2021-06-07T19:52:24,4137
2021-06-07T19:52:35,4143
2021-06-07T19:52:45,4153
2021-06-07T19:52:56,4161
2021-06-07T19:53:07,4167
2021-06-07T19:53:18,4177
2021-06-07T19:53:28,4186
2021-06-07T19:53:40,4195
2021-06-07T19:53:50,4203
2021-06-07T19:54:01,4212
2021-06-07T19:54:12,4220
2021-06-07T19:54:22,4227
2021-06-07T19:54:33,4235
2021-06-07T19:54:44,4242
2021-06-07T19:54:55,4249
2021-06-07T19:55:06,4257
2021-06-07T19:55:16,4263
2021-06-07T19:55:27,4270
2021-06-07T19:55:38,4275
2021-06-07T19:55:49,4279
2021-06-07T19:55:59,4286
2021-06-07T19:56:10,4293
2021-06-07T19:56:21,4299
2021-06-07T19:56:31,4305
2021-06-07T19:56:42,4312
2021-06-07T19:56:55,4319
2021-06-07T19:57:05,4327
2021-06-07T19:57:16,4334
2021-06-07T19:57:27,4343
2021-06-07T19:57:38,4352
2021-06-07T19:57:49,4359
2021-06-07T19:57:59,4369
2021-06-07T19:58:10,4374
2021-06-07T19:58:21,4381
2021-06-07T19:58:31,4390
2021-06-07T19:58:42,4399
2021-06-07T19:58:53,4407
2021-06-07T19:59:04,4414
2021-06-07T19:59:14,4419
2021-06-07T19:59:25,4425
2021-06-07T19:59:36,4431
2021-06-07T19:59:46,4437
2021-06-07T19:59:58,4444
2021-06-07T20:00:09,4449
2021-06-07T20:00:20,4454
2021-06-07T20:00:31,4462
2021-06-07T20:00:42,4467
2021-06-07T20:00:53,4472
2021-06-07T20:01:03,4477
2021-06-07T20:01:14,4484
2021-06-07T20:01:25,4491
2021-06-07T20:01:35,4497
2021-06-07T20:01:46,4505
2021-06-07T20:01:57,4512
2021-06-07T20:02:07,4521
2021-06-07T20:02:20,4528
2021-06-07T20:02:31,4535
2021-06-07T20:02:41,4543
2021-06-07T20:02:52,4550
2021-06-07T20:03:03,4556
2021-06-07T20:03:14,4561
2021-06-07T20:03:24,4568
2021-06-07T20:03:35,4575
2021-06-07T20:03:46,4581
2021-06-07T20:03:57,4588
2021-06-07T20:04:08,4596
2021-06-07T20:04:19,4600
2021-06-07T20:04:30,4606
2021-06-07T20:04:40,4613
2021-06-07T20:04:51,4618
2021-06-07T20:05:02,4625
2021-06-07T20:05:13,4632
2021-06-07T20:05:24,4639
2021-06-07T20:05:35,4645
2021-06-07T20:05:46,4651
2021-06-07T20:05:56,4657
2021-06-07T20:06:07,4666
2021-06-07T20:06:18,4673
2021-06-07T20:06:29,4678
2021-06-07T20:06:40,4687
2021-06-07T20:06:53,4696
2021-06-07T20:10:02,4796
2021-06-07T20:10:13,4801
2021-06-07T20:10:24,4808
2021-06-07T20:10:34,4817
2021-06-07T20:10:45,4825
2021-06-07T20:10:56,4832
2021-06-07T20:11:06,4840
2021-06-07T20:11:17,4848
2021-06-07T20:11:28,4854
2021-06-07T20:11:39,4861
2021-06-07T20:11:50,4869
2021-06-07T20:12:00,4875
2021-06-07T20:12:11,4882
2021-06-07T20:12:24,4887
2021-06-07T20:12:34,4893
2021-06-07T20:12:45,4899
2021-06-07T20:12:56,4903
2021-06-07T20:13:07,4907
2021-06-07T20:13:17,4912
2021-06-07T20:13:28,4915
2021-06-07T20:13:39,4920
2021-06-07T20:13:50,4925
2021-06-07T20:14:00,4930
2021-06-07T20:14:11,4937
2021-06-07T20:14:22,4943
2021-06-07T20:14:33,4949
2021-06-07T20:14:43,4956
2021-06-07T20:14:54,4961
2021-06-07T20:15:05,4966
2021-06-07T20:15:15,4974
2021-06-07T20:15:26,4976
2021-06-07T20:15:37,4976
2021-06-07T20:15:48,4976
2021-06-07T20:15:59,4976
2021-06-07T20:16:09,4976
2021-06-07T20:16:20,4976
2021-06-07T20:16:31,4976
2021-06-07T20:16:41,4976
2021-06-07T20:16:52,4976
2021-06-07T20:17:03,4976
2021-06-07T20:17:14,4976
2021-06-07T20:17:25,4976
2021-06-07T20:17:35,4976
2021-06-07T20:17:46,4976
2021-06-07T20:17:57,4976
2021-06-07T20:18:08,4976
2021-06-07T20:18:18,4976
2021-06-07T20:18:29,4976
2021-06-07T20:18:40,4976
2021-06-07T20:18:50,4976
2021-06-07T20:19:01,4976
2021-06-07T20:19:12,4978
2021-06-07T20:19:22,4978
2021-06-07T20:19:33,4978
2021-06-07T20:19:44,4978
2021-06-07T20:19:54,4978
2021-06-07T20:20:05,4978
2021-06-07T20:20:16,4979
2021-06-07T20:20:26,4979
2021-06-07T20:20:37,4980
2021-06-07T20:20:48,4980
2021-06-07T20:20:59,4980
2021-06-07T20:21:09,4980
2021-06-07T20:21:20,4980
2021-06-07T20:21:31,4980
2021-06-07T20:21:41,4980
2021-06-07T20:21:52,4980
2021-06-07T20:22:03,4980
2021-06-07T20:22:14,4980
2021-06-07T20:22:26,4980
2021-06-07T20:22:37,4980
2021-06-07T20:22:48,4980
2021-06-07T20:22:58,4980
2021-06-07T20:23:09,4980
2021-06-07T20:23:20,4980
2021-06-07T20:23:30,4980
2021-06-07T20:23:42,4981
2021-06-07T20:23:53,4982
2021-06-07T20:24:03,4982
2021-06-07T20:24:14,4982
2021-06-07T20:24:25,4983
2021-06-07T20:24:35,4983
2021-06-07T20:24:46,4983
2021-06-07T20:24:57,4984
2021-06-07T20:25:07,4984
2021-06-07T20:25:19,4984
2021-06-07T20:25:29,4985
2021-06-07T20:25:40,4986
2021-06-07T20:25:51,4986
2021-06-07T20:26:01,4986
2021-06-07T20:26:12,4987
2021-06-07T20:26:23,4987
2021-06-07T20:26:33,4988
2021-06-07T20:26:44,4988
2021-06-07T20:26:55,4988
2021-06-07T20:27:05,4989
2021-06-07T20:27:16,4989
2021-06-07T20:27:27,4989
2021-06-07T20:27:37,4990
2021-06-07T20:27:48,4991
2021-06-07T20:27:59,4991
2021-06-07T20:28:10,4992
2021-06-07T20:28:20,4993
2021-06-07T20:28:31,4993
2021-06-07T20:28:42,4993
2021-06-07T20:28:52,4993
2021-06-07T20:29:03,4993
2021-06-07T20:29:14,4994
2021-06-07T20:29:24,4994
2021-06-07T20:29:35,4994
2021-06-07T20:29:46,4994
2021-06-07T20:29:56,4995
2021-06-07T20:30:07,4996
2021-06-07T20:30:18,4996
2021-06-07T20:30:29,4997
2021-06-07T20:30:39,4997
2021-06-07T20:30:50,4997
2021-06-07T20:31:01,4997
2021-06-07T20:31:12,4998
2021-06-07T20:31:22,4998
2021-06-07T20:31:33,4998
2021-06-07T20:31:44,4998
2021-06-07T20:31:54,4998
2021-06-07T20:32:05,4998
2021-06-07T20:32:16,4998
2021-06-07T20:32:29,4999
2021-06-07T20:32:40,4999
2021-06-07T20:32:51,4999
2021-06-07T20:33:01,4999
2021-06-07T20:33:12,4999
2021-06-07T20:33:23,4999
2021-06-07T20:33:34,4999
2021-06-07T20:33:44,4999
2021-06-07T20:33:55,4999
2021-06-07T20:34:06,5000
2021-06-07T20:34:16,5000
2021-06-07T20:34:27,5000
2021-06-07T20:34:38,5000
2021-06-07T20:34:48,5000
2021-06-07T20:34:59,5000
2021-06-07T20:35:10,5000
2021-06-07T20:35:20,5000
2021-06-07T20:35:31,5000
2021-06-07T20:35:42,5000
2021-06-07T20:35:52,5000
2021-06-07T20:36:03,5000
2021-06-07T20:36:14,5000
2021-06-07T20:36:24,5000
2021-06-07T20:36:35,5000
2021-06-07T20:36:46,5000
2021-06-07T20:36:56,5000
2021-06-07T20:37:07,5000
2021-06-07T20:37:18,5000
2021-06-07T20:37:28,5000
2021-06-07T20:37:39,5000
2021-06-07T20:37:50,5000
2021-06-07T20:38:01,5000
2021-06-07T20:38:11,5000
2021-06-07T20:38:22,5000
2021-06-07T20:38:33,5000
2021-06-07T20:38:43,5000
2021-06-07T20:38:54,5000
2021-06-07T20:39:05,5000
2021-06-07T20:39:16,5000
2021-06-07T20:39:27,5000
2021-06-07T20:39:37,5000
2021-06-07T20:39:48,5000
2021-06-07T20:39:59,5000
2021-06-07T20:40:10,5000
2021-06-07T20:40:20,5000
2021-06-07T20:40:31,5000
2021-06-07T20:40:42,5000
2021-06-07T20:40:52,5000
2021-06-07T20:41:03,5000
2021-06-07T20:41:14,5000
2021-06-07T20:41:25,5000
2021-06-07T20:41:35,5000
2021-06-07T20:41:46,5000
2021-06-07T20:41:57,5000
2021-06-07T20:42:07,5000
2021-06-07T20:42:18,5000
2021-06-07T20:42:31,5000
2021-06-07T20:42:41,5000
2021-06-07T20:42:52,5000
2021-06-07T20:43:03,5000
2021-06-07T20:43:13,5000
2021-06-07T20:43:24,5000
2021-06-07T20:43:35,5000
2021-06-07T20:43:45,5000
2021-06-07T20:43:56,5000
2021-06-07T20:44:07,5000
2021-06-07T20:44:18,5000
2021-06-07T20:44:28,5000
2021-06-07T20:44:39,5000
2021-06-07T20:44:50,5000
2021-06-07T20:45:01,5000
2021-06-07T20:45:11,5000
2021-06-07T20:45:22,5000
2021-06-07T20:45:33,5000
2021-06-07T20:45:44,5000
2021-06-07T20:45:55,5000
2021-06-07T20:46:05,5000
2021-06-07T20:46:16,5000
2021-06-07T20:46:27,5000
2021-06-07T20:46:37,5000
2021-06-07T20:46:48,5000
2021-06-07T20:46:59,5000
2021-06-07T20:47:09,5000
2021-06-07T20:47:20,5000
2021-06-07T20:47:31,5000
2021-06-07T20:47:42,5000
2021-06-07T20:47:52,5000
2021-06-07T20:48:03,5000
2021-06-07T20:48:13,5000
2021-06-07T20:48:24,5000
2021-06-07T20:48:35,5000
2021-06-07T20:48:46,5000
2021-06-07T20:48:57,5000
2021-06-07T20:49:07,5000
2021-06-07T20:49:18,5000
2021-06-07T20:49:29,5000
2021-06-07T20:49:39,5000
2021-06-07T20:49:50,5000
2021-06-07T20:50:01,5000
2021-06-07T20:50:11,5000
2021-06-07T20:50:22,5000
2021-06-07T20:50:33,5000
2021-06-07T20:50:43,5000
2021-06-07T20:50:54,5000
2021-06-07T20:51:04,5000
2021-06-07T20:51:15,5000
2021-06-07T20:51:26,5000
2021-06-07T20:51:37,5000
2021-06-07T20:51:47,5000
2021-06-07T20:51:58,5000
2021-06-07T20:52:09,5000
2021-06-07T20:52:19,5000
2021-06-07T20:52:32,5000
2021-06-07T20:52:43,5000
2021-06-07T20:52:53,5000
2021-06-07T20:53:04,5000
2021-06-07T20:53:15,5000
2021-06-07T20:53:26,5000
2021-06-07T20:53:37,5000
2021-06-07T20:53:48,5000
2021-06-07T20:53:58,5000
2021-06-07T20:54:09,5000
2021-06-07T20:54:20,5000
2021-06-07T20:54:31,5000
2021-06-07T20:54:42,5000
